game_result,turnovers,pass_cmp,pass_att,pass_yds,pass_td,rush_att,rush_yds,rush_td,rush_yds_per_att,tot_plays,tot_yds_per_play,first_down_pass,first_down_rush,first_down_penalty,first_down,penalty,penalty_yds,fumbles_lost,pass_int,game_loc,turnovers_opp,pass_cmp_opp,pass_att_opp,pass_yds_opp,pass_td_opp,rush_att_opp,rush_yds_opp,rush_td_opp,rush_yds_per_att_opp,tot_plays_opp,tot_yds_per_play_opp,first_down_pass_opp,first_down_rush_opp,first_down_penalty_opp,first_down_opp,penalty_opp,penalty_yds_opp,fumbles_lost_opp,pass_int_opp,team_elo
L (21-49),1,24,31,456,3,23,58,0,2.5,54,9.5,0,3,0,21,7,57,0,1,1,0,31,37,481,6,35,150,1,4.3,72,8.8,1,11,1,30,3,25,0,0,-8.831092410520482
L (7-24),2,21,31,283,0,25,29,1,1.2,56,5.6,1,4,1,13,5,46,2,0,0,1,26,41,227,0,32,186,3,5.8,73,5.7,1,9,1,22,4,33,1,0,-26.20755531383056
W (14-5),0,19,34,199,0,36,85,1,2.4,70,4.1,1,6,1,17,10,76,0,0,1,2,10,27,103,0,34,131,0,3.9,61,3.8,0,5,0,10,7,40,0,2,-12.713709642038143
W (27-0),1,16,26,191,1,32,195,2,6.1,58,6.7,3,8,3,20,5,34,0,1,1,3,15,22,114,0,31,58,0,1.9,53,3.2,1,5,1,10,8,89,0,3,3.378827591002569
L (24-27),2,27,41,258,1,25,38,2,1.5,66,4.5,2,6,2,20,7,51,1,1,0,1,10,18,86,1,43,155,2,3.6,61,4.0,1,9,1,15,5,54,0,1,-20.04217346918551
W (21-17),0,26,37,193,2,24,41,1,1.7,61,3.8,4,3,4,19,4,21,0,0,0,3,25,36,293,1,26,36,1,1.4,62,5.3,1,2,1,18,10,105,0,3,25.463692140620235
L (17-41),2,28,40,319,2,27,66,0,2.4,67,5.7,1,6,1,21,10,104,1,1,1,1,23,28,285,3,45,169,2,3.8,73,6.2,3,9,3,26,8,50,1,0,-16.240466062795452
L (13-35),1,12,23,144,0,50,150,1,3.0,73,4.0,0,12,0,19,9,75,1,0,0,2,26,31,325,2,31,198,3,6.4,62,8.4,2,7,2,21,8,65,2,0,-28.345457931959455
W (27-21),0,21,30,264,1,43,176,1,4.1,73,6.0,1,9,1,22,8,91,0,0,1,2,16,28,249,3,26,49,0,1.9,54,5.5,2,4,2,16,5,28,0,2,31.209291231906747
L (10-41),0,13,31,186,1,30,68,0,2.3,61,4.2,2,5,2,13,6,35,0,0,0,0,18,22,276,0,36,236,5,6.6,58,8.8,0,8,0,20,10,79,0,0,45.955700145544554
W (56-44),0,10,14,205,2,39,361,5,9.3,53,10.7,0,13,0,21,5,31,0,0,1,1,33,57,385,2,38,274,4,7.2,95,6.9,1,13,1,32,4,35,0,1,48.092704661718386
W (34-7),0,9,15,134,0,49,329,5,6.7,64,7.2,1,14,1,21,5,45,0,0,0,1,5,9,115,1,48,158,0,3.3,57,4.8,1,9,1,14,4,35,0,1,88.4923240689902
W (28-10),0,23,30,185,1,35,149,2,4.3,65,5.1,5,10,5,22,12,105,0,0,1,2,23,40,244,1,22,16,0,0.7,62,4.2,1,3,1,15,9,104,1,1,33.18297733688004
W (28-10),0,17,27,257,1,32,161,2,5.0,59,7.1,8,6,8,26,11,94,0,0,0,1,18,25,174,1,31,50,0,1.6,56,4.0,0,4,0,12,13,165,0,1,39.551686694546746
W (28-26),0,18,21,179,2,34,214,2,6.3,55,7.1,0,8,0,16,4,45,0,0,0,0,20,30,200,1,36,191,2,5.3,66,5.9,2,11,2,23,4,40,0,0,15.327151839225948
L (0-27),3,15,22,114,0,31,58,0,1.9,53,3.2,1,5,1,10,8,89,0,3,0,1,16,26,191,1,32,195,2,6.1,58,6.7,3,8,3,20,5,34,0,1,-6.030934358709403
W (42-37),0,6,13,69,0,42,353,5,8.4,55,7.7,0,15,0,20,6,69,0,0,1,4,27,42,348,1,43,214,4,5.0,85,6.6,5,13,5,35,2,15,0,4,13.07554787232856
W (23-20),0,7,18,86,1,47,181,1,3.9,65,4.1,3,11,3,17,3,25,0,0,0,2,12,24,153,0,35,199,2,5.7,59,6.0,0,8,0,17,9,90,0,2,43.66078547769749
L (41-44),1,21,25,227,3,25,127,1,5.1,50,7.1,2,6,2,20,9,108,0,1,1,1,40,63,355,3,33,137,3,4.2,96,5.1,6,9,6,34,7,56,0,1,57.941507010197455
L (19-45),2,22,44,291,1,26,157,1,6.0,70,6.4,3,9,3,22,16,112,0,2,0,2,17,26,235,4,40,268,2,6.7,66,7.6,2,15,2,27,8,88,2,0,-12.009607194857303
W (50-40),0,13,28,248,0,49,331,7,6.8,77,7.5,3,15,3,28,14,170,0,0,0,0,13,29,189,1,35,285,4,8.1,64,7.4,6,11,6,27,7,64,0,0,-2.5138593635355306
L (0-48),3,11,29,61,0,32,77,0,2.4,61,2.3,2,5,2,10,8,90,0,3,0,0,14,25,244,2,43,281,4,6.5,68,7.7,2,9,2,20,7,80,0,0,-9.27110155288106
L (40-50),0,13,29,189,1,35,285,4,8.1,64,7.4,6,11,6,27,7,64,0,0,1,0,13,28,248,0,49,331,7,6.8,77,7.5,3,15,3,28,14,170,0,0,-20.82779283120527
W (33-30),2,15,29,204,1,38,160,3,4.2,67,5.4,3,7,3,21,4,30,2,0,1,0,21,41,233,2,45,127,1,2.8,86,4.2,1,7,1,20,9,93,0,0,-3.7997655099214285
W (38-20),1,17,26,221,2,45,269,3,6.0,71,6.9,4,15,4,28,8,67,0,1,1,0,17,31,309,2,25,49,0,2.0,56,6.4,2,2,2,13,8,72,0,0,40.6628136914906
L (20-21),1,21,39,251,2,40,156,0,3.9,79,5.2,3,7,3,20,10,84,0,1,0,1,15,34,209,1,41,185,2,4.5,75,5.3,2,10,2,20,8,65,1,0,23.713146487606913
L (34-41),2,18,34,216,1,34,201,2,5.9,68,6.1,3,10,3,21,3,25,2,0,1,0,12,23,134,0,48,371,5,7.7,71,7.1,0,18,0,25,7,59,0,0,10.735137358952393
W (30-20),1,22,33,210,0,36,151,2,4.2,69,5.2,1,9,1,20,4,40,0,1,1,2,19,36,281,1,19,33,1,1.7,55,5.7,0,3,0,12,2,20,1,1,15.83742639994682
W (24-17),0,13,20,109,1,27,62,1,2.3,47,3.6,3,3,3,11,6,46,0,0,1,4,14,29,159,1,44,120,1,2.7,73,3.8,1,11,1,20,6,56,2,2,31.771342353195084
L (17-24),3,17,24,329,2,21,82,0,3.9,45,9.1,3,4,3,18,6,42,2,1,1,0,31,43,346,2,33,78,1,2.4,76,5.6,2,5,2,25,8,50,0,0,9.26554729391008
L (21-66),3,17,31,218,2,33,135,1,4.1,64,5.5,2,5,2,13,5,60,0,3,0,1,24,34,354,4,37,232,4,6.3,71,8.3,1,13,1,25,8,55,0,1,20.3709867824157
W (52-20),0,22,34,439,5,26,179,2,6.9,60,10.3,0,5,0,21,14,130,0,0,1,2,20,44,186,2,47,229,0,4.9,91,4.6,5,12,5,27,6,45,0,2,53.941087565791165
L (20-23),2,23,43,194,0,42,165,2,3.9,85,4.2,5,8,5,24,5,55,1,1,1,1,10,17,107,1,37,77,1,2.1,54,3.4,2,4,2,9,5,74,1,0,3.364946787456555
W (34-20),2,6,10,35,1,54,367,4,6.8,64,6.3,1,20,1,23,3,25,1,1,1,1,15,30,263,2,34,115,0,3.4,64,5.9,1,10,1,19,4,15,1,0,11.75115646646875
L (20-26),2,19,35,156,0,38,132,2,3.5,73,3.9,2,7,2,19,7,57,1,1,1,2,25,40,250,3,30,93,0,3.1,70,4.9,1,4,1,18,9,80,1,1,10.451957345416734
L (24-41),0,23,38,243,2,22,93,1,4.2,60,5.6,2,6,2,17,3,20,0,0,1,0,25,33,380,3,35,149,2,4.3,68,7.8,0,8,0,27,3,22,0,0,-0.5627922542667623
L (14-16),2,20,33,163,0,28,123,2,4.4,61,4.7,1,7,1,17,3,35,0,2,1,0,10,20,198,1,45,190,0,4.2,65,6.0,1,9,1,16,3,35,0,0,10.729724732358502
W (28-3),2,17,28,158,1,36,270,3,7.5,64,6.7,5,8,5,24,8,66,2,0,1,2,14,36,119,0,28,110,0,3.9,64,3.6,3,8,3,17,10,100,0,2,39.931013847792826
W (49-7),1,18,27,248,3,39,229,4,5.9,66,7.2,1,14,1,24,4,35,1,0,1,1,10,18,87,0,41,113,1,2.8,59,3.4,1,7,1,14,3,25,1,0,78.77115568905064
W (27-20),1,20,28,204,1,40,192,2,4.8,68,5.8,0,9,0,20,8,85,1,0,1,1,23,37,228,1,27,114,1,4.2,64,5.3,2,5,2,18,7,50,1,0,13.869430642699458
W (30-10),2,12,18,204,2,51,236,2,4.6,69,6.4,3,9,3,21,11,91,2,0,1,2,25,38,196,1,20,-18,0,-0.9,58,3.1,2,1,2,14,6,60,0,2,23.800411656305354
W (56-0),0,25,33,410,2,39,273,6,7.0,72,9.5,0,13,0,30,6,58,0,0,1,0,8,17,71,0,31,28,0,0.9,48,2.1,1,0,1,6,2,2,0,0,22.346773776326902
W (38-7),1,26,40,298,3,35,185,2,5.3,75,6.4,1,6,1,23,4,40,0,1,0,3,16,25,199,1,25,47,0,1.9,50,4.9,0,3,0,13,2,19,2,1,53.26048141536626
L (31-32),2,28,35,326,2,33,141,2,4.3,68,6.9,0,6,0,22,8,70,2,0,0,0,23,34,359,2,31,155,2,5.0,65,7.9,1,8,1,18,3,25,0,0,62.48141751988377
W (16-12),1,19,32,174,2,29,75,0,2.6,61,4.1,1,4,1,15,5,67,0,1,1,2,24,28,260,1,35,58,0,1.7,63,5.0,3,5,3,18,8,70,1,1,38.73915106049017
L (15-25),3,18,34,186,1,34,36,1,1.1,68,3.3,4,4,4,16,3,32,2,1,1,2,13,21,194,1,52,151,1,2.9,73,4.7,1,8,1,14,10,82,2,0,49.97877619225608
L (3-34),2,19,30,148,0,39,89,0,2.3,69,3.4,3,7,3,18,7,49,2,0,1,1,21,31,229,1,30,177,3,5.9,61,6.7,1,7,1,17,5,57,0,1,69.42049450435943
W (45-10),1,28,39,431,5,35,129,1,3.7,74,7.6,1,9,1,24,9,80,0,1,0,1,19,37,236,0,32,116,1,3.6,69,5.1,2,8,2,19,4,40,0,1,45.31002657501328
L (20-42),3,26,50,364,1,30,126,1,4.2,80,6.1,3,7,3,25,2,20,1,2,0,1,19,31,259,3,34,300,3,8.8,65,8.6,1,10,1,23,6,49,0,1,31.810308629068917
L (35-38),2,18,29,152,3,37,269,2,7.3,66,6.4,0,12,0,22,1,5,0,2,0,3,13,28,218,2,36,255,3,7.1,64,7.4,0,16,0,25,2,15,0,3,20.919282169068797
L (14-20),2,20,34,192,1,41,95,1,2.3,75,3.8,3,5,3,17,10,95,1,1,1,4,25,38,283,0,51,183,2,3.6,89,5.2,1,9,1,26,10,70,0,4,-17.872394243495556
W (30-27),0,12,27,144,2,36,189,2,5.3,63,5.3,1,9,1,16,6,48,0,0,0,1,27,36,303,2,33,96,2,2.9,69,5.8,3,8,3,23,7,65,0,1,0.6210369282624626
W (21-14),1,14,23,141,1,45,202,2,4.5,68,5.0,1,9,1,18,7,60,0,1,0,2,28,46,260,2,28,57,0,2.0,74,4.3,2,4,2,19,4,40,1,1,15.063687617780904
W (40-6),2,26,34,377,2,45,272,3,6.0,79,8.2,2,18,2,33,11,114,1,1,0,2,24,42,265,0,32,46,0,1.4,74,4.2,5,2,5,21,6,60,1,1,28.64086185624899
L (17-20),1,18,27,261,1,29,92,1,3.2,56,6.3,0,6,0,14,8,53,1,0,1,0,18,28,243,1,47,93,1,2.0,75,4.5,3,11,3,22,3,30,0,0,29.034864472493176
L (26-29),2,24,42,284,1,42,180,1,4.3,84,5.5,1,11,1,22,12,110,1,1,0,2,22,51,337,3,24,84,0,3.5,75,5.6,3,2,3,22,6,45,0,2,38.128170265973054
W (49-14),0,23,27,306,2,32,240,4,7.5,59,9.3,2,9,2,26,3,36,0,0,0,0,23,35,178,0,32,131,2,4.1,67,4.6,2,8,2,19,6,65,0,0,39.26928142396672
W (31-10),2,21,34,264,2,37,213,2,5.8,71,6.7,2,10,2,25,5,35,0,2,1,1,15,22,191,0,30,59,1,2.0,52,4.8,2,6,2,16,5,41,1,0,69.33486865115172
W (35-0),1,21,25,290,2,35,131,3,3.7,60,7.0,1,9,1,25,4,25,0,1,0,2,9,19,93,0,40,208,0,5.2,59,5.1,0,11,0,16,6,40,1,1,110.40318125180995
L (14-49),0,23,35,178,0,32,131,2,4.1,67,4.6,2,8,2,19,6,65,0,0,1,0,23,27,306,2,32,240,4,7.5,59,9.3,2,9,2,26,3,36,0,0,10.607029841271522
W (39-31),2,16,28,147,0,47,251,5,5.3,75,5.3,4,13,4,26,8,45,1,1,1,1,20,30,263,2,39,176,2,4.5,69,6.4,2,11,2,22,13,82,1,0,55.62239409194484
W (34-27),1,13,20,204,2,37,234,2,6.3,57,7.7,0,10,0,21,7,76,0,1,1,2,25,40,254,2,26,121,1,4.7,66,5.7,1,4,1,20,3,18,0,2,38.207889925924505
W (21-7),0,15,21,135,0,44,239,3,5.4,65,5.8,2,14,2,24,6,63,0,0,1,2,16,25,185,1,32,34,0,1.1,57,3.8,3,5,3,17,9,60,1,1,62.03851383068525
W (33-30),3,31,44,400,2,31,118,1,3.8,75,6.9,2,5,2,28,3,25,0,3,0,1,20,34,220,2,24,189,1,7.9,58,7.1,0,7,0,16,5,60,0,1,101.19232670203482
W (28-27),1,20,35,302,3,33,196,0,5.9,68,7.3,2,10,2,24,5,50,0,1,0,1,22,38,298,3,37,151,0,4.1,75,6.0,0,7,0,21,6,59,1,0,35.10313341823208
W (34-24),1,25,42,381,3,35,139,1,4.0,77,6.8,1,8,1,23,5,43,0,1,0,0,24,45,269,1,35,147,1,4.2,80,5.2,0,8,0,23,5,50,0,0,77.89915858838987
L (21-38),2,7,17,56,1,30,263,2,8.8,47,6.8,1,10,1,13,2,25,1,1,0,0,10,18,104,0,57,341,4,6.0,75,5.9,1,20,1,25,6,47,0,0,-9.241863082930676
L (6-52),2,12,22,117,0,26,99,0,3.8,48,4.5,1,3,1,10,6,55,2,0,0,2,21,32,361,3,41,228,4,5.6,73,8.1,3,11,3,28,3,30,0,2,-19.00763680627976
L (0-35),2,9,19,93,0,40,208,0,5.2,59,5.1,0,11,0,16,6,40,1,1,1,1,21,25,290,2,35,131,3,3.7,60,7.0,1,9,1,25,4,25,0,1,-32.73089994963988
L (7-33),2,16,27,84,0,24,75,1,3.1,51,3.1,3,3,3,9,4,30,1,1,0,0,12,21,142,1,42,237,3,5.6,63,6.0,0,9,0,16,5,64,0,0,-14.168193726813097
L (20-21),0,22,40,254,2,31,209,0,6.7,71,6.5,3,9,3,23,6,44,0,0,1,1,18,36,237,2,29,67,1,2.3,65,4.7,2,8,2,17,6,66,0,1,-35.846108025265586
W (26-23),1,16,25,269,0,52,153,3,2.9,77,5.5,3,9,3,25,4,20,1,0,0,3,13,27,137,0,27,183,3,6.8,54,5.9,0,9,0,14,4,34,2,1,37.454292624921976
L (7-14),2,15,37,186,1,32,78,0,2.4,69,3.8,3,6,3,18,4,28,0,2,0,1,14,28,164,0,42,97,2,2.3,70,3.7,0,10,0,15,7,37,0,1,52.83242867488276
L (14-45),2,17,24,219,2,30,67,0,2.2,54,5.3,1,1,1,12,6,35,0,2,0,1,14,17,170,0,57,384,6,6.7,74,7.5,0,24,0,29,6,45,1,0,13.809984013565924
W (31-11),2,12,26,102,1,55,280,3,5.1,81,4.7,1,17,1,24,3,40,0,2,1,3,14,29,74,1,28,78,0,2.8,57,2.7,2,4,2,12,6,45,1,2,49.2391846689395
W (41-21),1,19,31,224,2,51,293,3,5.7,82,6.3,3,10,3,26,7,60,1,0,0,4,15,29,204,1,34,119,1,3.5,63,5.1,2,4,2,15,12,120,2,2,92.01974069789787
L (10-31),2,14,30,166,1,35,110,0,3.1,65,4.2,2,7,2,16,15,120,0,2,0,1,21,29,198,2,42,275,2,6.5,71,6.7,2,11,2,21,12,113,0,1,-11.515129243332208
W (27-24),0,24,33,224,1,34,99,2,2.9,67,4.8,2,5,2,19,9,104,0,0,1,1,26,44,272,3,29,84,0,2.9,73,4.9,3,8,3,24,7,66,0,1,3.1123065436235358
W (31-10),3,26,39,355,4,25,62,0,2.5,64,6.5,1,4,1,18,4,40,3,0,1,3,14,25,128,0,39,64,1,1.6,64,3.0,1,4,1,10,11,95,1,2,30.65973122758343
W (35-31),0,23,42,327,3,27,114,2,4.2,69,6.4,3,8,3,27,8,75,0,0,1,1,23,31,226,2,36,190,2,5.3,67,6.2,2,11,2,23,8,75,0,1,47.241174343614695
L (20-27),1,23,37,228,1,27,114,1,4.2,64,5.3,2,5,2,18,7,50,1,0,0,1,20,28,204,1,40,192,2,4.8,68,5.8,0,9,0,20,8,85,1,0,-17.32882603042596
L (10-42),0,21,31,223,1,32,110,0,3.4,63,5.3,0,8,0,16,5,35,0,0,0,2,29,42,430,2,27,237,4,8.8,69,9.7,0,8,0,29,4,40,0,2,1.6571971373902952
W (25-9),0,16,21,158,1,41,160,1,3.9,62,5.1,1,6,1,12,9,100,0,0,1,3,19,36,136,1,22,36,0,1.6,58,3.0,3,3,3,14,3,34,0,3,8.223977916634112
W (31-6),1,11,15,173,2,35,79,1,2.3,50,5.0,3,4,3,13,8,70,0,1,0,2,6,17,44,0,46,139,0,3.0,63,2.9,0,11,0,13,11,63,0,2,39.4983020219672
W (50-7),1,19,27,276,3,53,273,4,5.2,80,6.9,1,15,1,27,7,70,1,0,1,1,16,30,117,1,21,37,0,1.8,51,3.0,1,3,1,9,6,55,0,1,42.90204652753609
L (25-27),4,24,32,242,2,39,132,1,3.4,71,5.3,3,9,3,23,6,49,3,1,0,2,16,23,209,1,38,104,3,2.7,61,5.1,1,9,1,20,7,67,0,2,23.779898843895136
W (49-24),1,19,30,193,2,51,369,5,7.2,81,6.9,2,18,2,27,8,65,1,0,0,3,19,33,397,2,28,90,1,3.2,61,8.0,1,5,1,19,8,62,2,1,16.126288557384445
L (10-45),2,16,28,175,0,25,26,1,1.0,53,3.8,2,2,2,12,4,38,2,0,0,0,19,23,330,3,50,198,3,4.0,73,7.2,3,14,3,30,4,45,0,0,7.132181578377374
L (15-18),3,17,36,144,0,36,117,0,3.3,72,3.6,1,8,1,18,7,69,2,1,1,3,15,29,202,1,35,134,1,3.8,64,5.3,1,6,1,16,5,45,1,2,9.570430977730021
W (42-16),1,16,23,254,3,51,204,2,4.0,74,6.2,3,11,3,23,7,61,1,0,1,3,12,34,222,2,26,63,0,2.4,60,4.8,1,3,1,13,10,79,0,3,53.2986639087355
L (24-49),3,19,33,397,2,28,90,1,3.2,61,8.0,1,5,1,19,8,62,2,1,1,1,19,30,193,2,51,369,5,7.2,81,6.9,2,18,2,27,8,65,1,0,-15.068228711441385
L (13-23),1,15,21,140,0,18,37,2,2.1,39,4.5,1,3,1,8,4,37,1,0,1,0,22,30,222,1,46,188,1,4.1,76,5.4,0,11,0,22,5,35,0,0,-25.86238345464744
W (26-24),2,23,38,178,1,32,173,0,5.4,70,5.0,2,9,2,21,7,55,0,2,0,2,27,42,339,2,17,26,1,1.5,59,6.2,0,2,0,18,7,70,0,2,16.34733532055653
L (7-31),2,14,25,122,1,41,136,0,3.3,66,3.9,0,11,0,18,4,24,1,1,1,0,14,19,201,2,36,136,2,3.8,55,6.1,1,6,1,16,6,45,0,0,-0.5550802287809802
W (31-28),0,32,46,381,4,32,134,0,4.2,78,6.6,0,8,0,27,5,45,0,0,1,0,29,40,266,1,24,112,3,4.7,64,5.9,1,7,1,19,3,15,0,0,41.30927465825246
W (44-41),1,40,63,355,3,33,137,3,4.2,96,5.1,6,9,6,34,7,56,0,1,0,1,21,25,227,3,25,127,1,5.1,50,7.1,2,6,2,20,9,108,0,1,48.90817752170617
L (11-38),3,30,46,277,1,20,35,0,1.8,66,4.7,2,3,2,16,9,68,1,2,0,0,5,9,112,1,51,297,4,5.8,60,6.8,0,12,0,17,4,40,0,0,-15.547991737480586
W (45-29),0,17,27,271,5,41,180,1,4.4,68,6.6,0,8,0,20,5,33,0,0,1,1,26,44,293,2,36,178,2,4.9,80,5.9,1,9,1,26,6,60,0,1,-3.1171183164429053
L (20-29),3,18,31,136,0,37,134,1,3.6,68,4.0,1,6,1,15,8,65,2,1,0,3,24,41,272,1,41,99,1,2.4,82,4.5,3,7,3,21,6,51,1,2,-16.58285235853406
W (71-0),0,16,25,284,3,55,456,6,8.3,80,9.3,0,20,0,32,5,54,0,0,1,0,9,16,58,0,32,54,0,1.7,48,2.3,1,5,1,8,2,7,0,0,21.10722095347715
L (14-19),0,17,29,158,0,36,174,2,4.8,65,5.1,2,6,2,16,10,60,0,0,0,0,21,30,297,0,44,137,2,3.1,74,5.9,1,8,1,23,6,45,0,0,31.736241130974527
W (31-12),0,24,36,246,3,32,143,1,4.5,68,5.7,0,9,0,19,7,45,0,0,0,3,22,33,204,1,23,80,0,3.5,56,5.1,0,4,0,13,4,30,1,2,31.144368858673236
W (51-3),2,15,29,258,2,52,239,5,4.6,81,6.1,3,13,3,26,7,55,0,2,1,2,11,25,54,0,25,57,0,2.3,50,2.2,1,3,1,7,10,56,0,2,55.434726326031466
W (34-3),1,21,31,229,1,30,177,3,5.9,61,6.7,1,7,1,17,5,57,0,1,1,2,19,30,148,0,39,89,0,2.3,69,3.4,3,7,3,18,7,49,2,0,88.9245960316768
W (33-20),0,11,17,178,2,55,310,1,5.6,72,6.8,3,18,3,27,13,110,0,0,0,3,18,29,249,2,25,52,1,2.1,54,5.6,3,5,3,19,7,65,0,3,10.817439717170878
W (21-17),0,11,22,163,2,38,134,1,3.5,60,5.0,3,8,3,17,7,63,0,0,1,3,23,41,279,1,30,100,1,3.3,71,5.3,2,8,2,21,10,75,2,1,55.5983742157627
L (34-35),0,35,53,402,4,17,58,0,3.4,70,6.6,2,3,2,26,4,40,0,0,1,0,13,22,230,3,54,289,2,5.4,76,6.8,2,17,2,30,5,45,0,0,9.085024423918375
W (38-27),3,28,37,356,3,35,151,1,4.3,72,7.0,0,11,0,26,5,52,1,2,0,1,15,34,179,1,34,167,2,4.9,68,5.1,3,11,3,20,6,50,0,1,14.840175757114098
L (28-31),3,29,44,268,4,31,132,0,4.3,75,5.3,0,8,0,21,8,69,2,1,1,1,19,30,246,1,42,101,3,2.4,72,4.8,3,6,3,20,8,34,0,1,6.60858983050387
W (38-17),3,20,29,252,3,39,215,2,5.5,68,6.9,3,11,3,26,3,35,1,2,0,2,19,32,268,2,33,63,0,1.9,65,5.1,2,3,2,19,4,53,2,0,15.586256183458989
W (66-21),1,24,34,354,4,37,232,4,6.3,71,8.3,1,13,1,25,8,55,0,1,1,3,17,31,218,2,33,135,1,4.1,64,5.5,2,5,2,13,5,60,0,3,6.837527039183362
W (44-41),1,19,29,251,2,36,231,2,6.4,65,7.4,0,10,0,21,5,37,1,0,1,2,31,45,426,4,33,129,1,3.9,78,7.1,2,6,2,29,2,10,1,1,55.50204633966919
W (41-17),1,23,28,285,3,45,169,2,3.8,73,6.2,3,9,3,26,8,50,1,0,0,2,28,40,319,2,27,66,0,2.4,67,5.7,1,6,1,21,10,104,1,1,45.230652669956584
W (30-20),2,27,39,318,2,37,78,1,2.1,76,5.2,3,6,3,25,6,40,0,2,1,1,23,46,296,2,23,54,0,2.3,69,5.1,1,2,1,18,5,43,0,1,54.515889687985904
L (17-38),1,16,26,150,0,34,101,2,3.0,60,4.2,3,6,3,17,8,73,1,0,0,0,20,30,161,1,29,211,4,7.3,59,6.3,6,12,6,25,7,71,0,0,-17.248202152957973
L (9-13),0,7,12,71,0,45,189,0,4.2,57,4.6,3,10,3,17,10,84,0,0,1,1,6,11,135,0,38,112,1,2.9,49,5.0,3,7,3,13,8,65,0,1,-34.78670937312499
L (9-25),3,19,36,136,1,22,36,0,1.6,58,3.0,3,3,3,14,3,34,0,3,0,0,16,21,158,1,41,160,1,3.9,62,5.1,1,6,1,12,9,100,0,0,-50.301044841090196
L (19-34),2,15,33,173,2,34,106,0,3.1,67,4.2,2,6,2,16,9,60,1,1,0,1,19,30,167,1,45,182,3,4.0,75,4.7,2,9,2,23,6,45,0,1,-20.3590870283234
W (45-10),0,19,23,330,3,50,198,3,4.0,73,7.2,3,14,3,30,4,45,0,0,1,2,16,28,175,0,25,26,1,1.0,53,3.8,2,2,2,12,4,38,2,0,17.38664380614236
L (10-45),1,19,37,236,0,32,116,1,3.6,69,5.1,2,8,2,19,4,40,0,1,1,1,28,39,431,5,35,129,1,3.7,74,7.6,1,9,1,24,9,80,0,1,-13.636406329825517
L (20-52),2,20,44,186,2,47,229,0,4.9,91,4.6,5,12,5,27,6,45,0,2,0,0,22,34,439,5,26,179,2,6.9,60,10.3,0,5,0,21,14,130,0,0,1.957589688402602
L (27-37),1,23,32,235,3,35,119,0,3.4,67,5.3,3,5,3,22,10,109,0,1,0,1,11,26,161,0,38,266,4,7.0,64,6.7,5,18,5,29,6,65,0,1,-18.50683717806112
L (20-71),3,21,43,230,1,22,75,1,3.4,65,4.7,2,5,2,13,7,45,0,3,1,0,14,18,180,2,50,317,6,6.3,68,7.3,2,13,2,24,7,65,0,0,-31.968629982530228
W (35-34),0,13,22,230,3,54,289,2,5.4,76,6.8,2,17,2,30,5,45,0,0,0,0,35,53,402,4,17,58,0,3.4,70,6.6,2,3,2,26,4,40,0,0,40.512124024490156
L (13-24),1,12,22,165,0,40,108,1,2.7,62,4.4,2,11,2,20,6,39,0,1,0,0,23,28,229,1,32,130,2,4.1,60,6.0,2,6,2,19,8,64,0,0,21.95134599316374
L (13-42),2,15,24,142,0,26,96,1,3.7,50,4.8,5,6,5,16,7,74,1,1,1,0,25,33,307,4,29,123,2,4.2,62,6.9,4,5,4,25,14,127,0,0,12.711426138657114
L (13-34),2,13,24,125,0,24,47,0,2.0,48,3.6,2,4,2,11,9,86,0,2,1,1,31,42,278,3,36,153,1,4.3,78,5.5,4,8,4,27,6,49,0,1,-0.0326081829981657
L (17-21),3,25,36,293,1,26,36,1,1.4,62,5.3,1,2,1,18,10,105,0,3,1,0,26,37,193,2,24,41,1,1.7,61,3.8,4,3,4,19,4,21,0,0,-24.288540122158025
W (48-0),1,29,41,295,1,37,249,5,6.7,78,7.0,1,12,1,28,4,27,1,0,1,1,18,27,103,0,23,87,0,3.8,50,3.8,0,5,0,10,9,64,0,1,34.46982569711114
W (38-21),3,30,45,308,3,37,161,1,4.4,82,5.7,2,9,2,29,7,53,2,1,1,2,13,26,180,1,25,106,2,4.2,51,5.6,1,6,1,13,7,50,1,1,39.75243853374843
L (30-33),1,20,34,220,2,24,189,1,7.9,58,7.1,0,7,0,16,5,60,0,1,1,3,31,44,400,2,31,118,1,3.8,75,6.9,2,5,2,28,3,25,0,3,23.53311470948073
W (38-21),1,20,33,239,3,41,221,1,5.4,74,6.2,2,9,2,23,1,15,0,1,0,2,18,35,245,2,34,140,1,4.1,69,5.6,0,5,0,14,9,65,0,2,40.57712885344711
L (10-23),2,20,40,280,1,29,84,0,2.9,69,5.3,0,6,0,19,3,20,0,2,1,1,19,31,197,2,30,161,0,5.4,61,5.9,1,7,1,17,5,35,0,1,48.260908748785866
L (21-38),2,18,35,245,2,34,140,1,4.1,69,5.6,0,5,0,14,9,65,0,2,1,1,20,33,239,3,41,221,1,5.4,74,6.2,2,9,2,23,1,15,0,1,-11.178775935464948
L (30-62),1,27,41,372,3,34,135,1,4.0,75,6.8,1,8,1,21,7,42,1,0,0,1,26,32,303,3,42,296,4,7.0,74,8.1,1,10,1,27,4,37,0,1,-26.357926320546206
L (10-28),3,26,43,244,1,30,91,0,3.0,73,4.6,1,8,1,18,2,25,1,2,0,2,15,19,228,1,43,179,3,4.2,62,6.6,1,8,1,19,2,20,2,0,-12.935175606339708
